skater,trick,date,url,stance,status
terry kennedy,fakie frontside lipslide,10-04-2011,http://theberrics.com/trickipedia/fakie-lipslide.html,regular,pro
steve caballero,backside boardslide,09-27-2011,http://theberrics.com/trickipedia/backside-boardslide.html,goofy,pro
boo johnson,fakie frontside bigspin,09-20-2011,http://theberrics.com/trickipedia/fakie-frontside-bigspin.html,goofy,am
rodrigo petersen,nollie frontside bigspin,09-13-2011,http://theberrics.com/trickipedia/nollie-frontside-bigspin.html,regular,am
mikey taylor,switch frontside lipslide,08-30-2011,http://theberrics.com/trickipedia/switch-frontside-lipslide.html,regular,pro
kevin romar,varial kickflip,08-23-2011,http://theberrics.com/trickipedia/varial-kickflip.html,goofy,pro
mikemo capaldi,switch bigspin kickflip,08-16-2011,http://theberrics.com/trickipedia/switch-bigspin-kickflip.html,regular,pro
willow,frontside 360 pop shuvit,08-09-2011,http://theberrics.com/trickipedia/willow.html,regular,pro
theotis beasley,halfcab double kickflip,08-02-2011,http://theberrics.com/trickipedia/theotis-beasley.html,goofy,pro
louie lopez,frontside tailslide bigspin,07-26-2011,http://theberrics.com/trickipedia/louie-lopez-frontside-tailslide-bigspin.html,regular,pro
stacy lowery,frontside 180,07-19-2011,http://theberrics.com/trickipedia/stacy-lowery-fs180.html,goofy,pro
billy marks,kickflip boardslide,07-12-2011,http://theberrics.com/trickipedia/billy-marks-kickflip-boardslide.html,regular,pro
ryan sheckler,caballerial kickflip,06-28-2011,http://theberrics.com/trickipedia/ryan-sheckler-cab-kickflips.html,regular,pro
moose,nollie backside bigspin,06-14-2011,http://theberrics.com/trickipedia/nollie-backside-bigspin.html,regular,pro
rob gonzalez,nollie frontside 180,06-07-2011,http://theberrics.com/trickipedia/nollie-frontside-180.html,regular,pro
daniel espinoza,fakie hardflip,05-31-2011,http://theberrics.com/trickipedia/fakie-hardflip.html,regular,pro
mike vallely,boneless,05-24-2011,http://theberrics.com/trickipedia/boneless.html,regular,pro
jeron wilson,half cab noseslide,05-17-2011,http://theberrics.com/trickipedia/half-cab-noselide.html,regular,pro
kelly hart,nollie varial flip,05-10-2011,http://theberrics.com/trickipedia/nollie-varial-flip.html,goofy,am
kevin coakley,fakie ollie backside crooked grind,04-26-2011,http://theberrics.com/trickipedia/fakie-ollie-backside-crooked-grind.html,goofy,am
sammy baptista,switch frontside pop shuvit,04-19-2011,http://theberrics.com/trickipedia/switch-frontside-pop-shuvit.html,goofy,pro
kenny anderson,backside disaster,04-12-2011,http://theberrics.com/trickipedia/backside-disaster.html,goofy,pro
davis torgerson,nollie backside 180,03-29-2011,http://theberrics.com/trickipedia/nollie-backside-180.html,goofy,pro
steve nesser,frontside disaster,03-22-2011,http://theberrics.com/trickipedia/frontside-disaster.html,regular,pro
ronnie creager,fakie ollie tailslide,03-15-2011,http://theberrics.com/trickipedia/fakie-ollie-tailslide.html,goofy,pro
luan oliveira,switch frontside 360,03-08-2011,http://theberrics.com/trickipedia/switch-frontside-360.html,regular,pro
tom asta,kickflip backside noseslide,03-01-2011,http://theberrics.com/trickipedia/kickflip-backside-noseslide.html,regular,pro
enrique lorenzo,nollie nose manual,02-22-2011,http://theberrics.com/trickipedia/nollie-nose-manual.html,goofy,pro
matt bennett,bennett grind,02-15-2011,http://theberrics.com/trickipedia/bennett-grind.html,regular,pro
karl watson,nollie 180 switch crooked grind,02-08-2011,http://theberrics.com/trickipedia/nollie-180-switch-crooked-grind.html,regular,pro
mikemo capaldi,fakie frontside crooked grind,02-01-2011,http://theberrics.com/trickipedia/fakie-frontside-crooked-grind.html,regular,pro
paul shier,frontside half cab noseslide,01-25-2011,http://theberrics.com/trickipedia/frontside-half-cab-noseslide.html,goofy,pro
jimmy carlin,frontside half cab heelflip,01-18-2011,http://theberrics.com/trickipedia/frontside-half-cab-heelflip.html,regular,pro
johnny layton,frontside bigspin heelflip,01-04-2011,http://theberrics.com/trickipedia/frontside-bigspin-heelflip.html,regular,pro
chris troy,switch frontside bigspin,12-28-2010,http://theberrics.com/trickipedia/switch-frontside-bigspin.html,regular,pro
jamie thomas,frontside 180 nose grind,12-21-2010,http://theberrics.com/trickipedia/frontside-180-nose-grind.html,regular,pro
rodrigo tx,switch hardflip,12-14-2010,http://theberrics.com/trickipedia/switch-hardflip.html,goofy,pro
kenny hoyle,nollie frontside boardslides,12-07-2010,http://theberrics.com/trickipedia/nollie-frontside-boardslides.html,goofy,pro
danny supa,fakie inward heelflip,11-30-2010,http://theberrics.com/trickipedia/fakie-inward-heelflip.html,goofy,pro
mark appleyard,bigspin flip,11-23-2010,http://theberrics.com/trickipedia/bigspin-flip.html,goofy,pro
sean malto,backside overcrook,11-16-2010,http://theberrics.com/trickipedia/backside-overcrook.html,regular,pro
darrell stanton,frontside bluntslide,11-09-2010,http://theberrics.com/trickipedia/frontside-bluntslide.html,goofy,pro
paul rodriguez,nollie 360 flips,11-02-2010,http://theberrics.com/trickipedia/nollie-360-flips.html,goofy,pro
luis tolentino,fakie heelflip,10-26-2010,http://theberrics.com/trickipedia/fakie-heelflip.html,goofy,am
zach lyons,caballerial,10-12-2010,http://theberrics.com/trickipedia/caballerial.html,regular,am
morgan smith,switch backside tailslide,09-28-2010,http://theberrics.com/trickipedia/switch-backside-tailslide.html,goofy,pro
brandon biebel,fakie frontside nosegrind,09-21-2010,http://theberrics.com/trickipedia/fakie-frontside-nosegrind.html,goofy,pro
felipe gustavo,nollie hardflip,09-14-2010,http://theberrics.com/trickipedia/nollie-hardflip.html,goofy,pro
daryl angel,fakie backside nosegrind,09-07-2010,http://theberrics.com/trickipedia/fakie-backside-nosegrind.html,regular,pro
kelly hart,switch frontside tailslide,08-31-2010,http://theberrics.com/trickipedia/switch-frontside-tailslide.html,goofy,am
kevin romar,nollie backside 360,08-24-2010,http://theberrics.com/trickipedia/nollie-backside-360.html,goofy,pro
stefan janoski,switch flip,08-10-2010,http://theberrics.com/trickipedia/switch-flip.html,regular,pro
david gonzalez,impossible,08-03-2010,http://theberrics.com/trickipedia/impossible.html,goofy,pro
chico brenes,fakie bigflip,07-27-2010,http://theberrics.com/trickipedia/fakie-bigflip.html,regular,pro
danny montoya,nollie noseslide,07-20-2010,http://theberrics.com/trickipedia/nollie-noseslide.html,regular,pro
mikey taylor,frontside boardslide,07-06-2010,http://theberrics.com/trickipedia/frontside-boardslide.html,regular,pro
adelmo jr,switch backside heelflip,06-29-2010,http://theberrics.com/trickipedia/switch-backside-heelflip.html,regular,pro
richard angelides,switch varial heelflip,06-22-2010,http://theberrics.com/trickipedia/switch-heelflip-shuvit.html,goofy,pro
prince gilchrist,nollie laser flip,06-15-2010,http://theberrics.com/trickipedia/nollie-laser-flip.html,regular,am
chad tim tim,switch crooked grind,06-08-2010,http://theberrics.com/trickipedia/switch-crooked-grind.html,goofy,pro
billy marks,nollie inward heelflip,06-01-2010,http://theberrics.com/trickipedia/nollie-inward-heelflip.html,regular,pro
mike vallely,half cab,05-18-2010,http://theberrics.com/trickipedia/half-cab.html,regular,pro
brandon del bianco,backside 180 nosegrind,05-11-2010,http://theberrics.com/trickipedia/backside-180-nosegrind.html,goofy,am
shane o'neill,360 pop shuvit,05-04-2010,http://theberrics.com/trickipedia/360-pop-shuvit.html,goofy,pro
torey pudwill,laser flip,04-27-2010,http://theberrics.com/trickipedia/laser-flip.html,regular,pro
walker ryan,switch backside bigspin,04-20-2010,http://theberrics.com/trickipedia/switch-backside-bigspin.html,regular,pro
ronnie creager,fakie manual,04-13-2010,http://theberrics.com/trickipedia/fakie-manual.html,goofy,pro
will fyock,switch pop shuvit,04-06-2010,http://theberrics.com/trickipedia/switch-pop-shuvit.html,regular,am
chany jeanguenin,pivot fakie,03-30-2010,http://theberrics.com/trickipedia/pivot-fakie.html,regular,pro
joey brezinski,nose manual,03-23-2010,http://theberrics.com/trickipedia/nose-manual.html,goofy,pro
zered bassett,switch 360 flip,03-16-2010,http://theberrics.com/trickipedia/switch-360-flip.html,regular,pro
lucas puig,switch backside kickflip,03-09-2010,http://theberrics.com/trickipedia/switch-backside-kickflip.html,regular,pro
spencer hamilton,fakie bigspin,02-23-2010,http://theberrics.com/trickipedia/fakie-bigspin.html,regular,pro
clint peterson,backside 5-0 grind,02-16-2010,http://theberrics.com/trickipedia/backside-5-0-grind.html,goofy,pro
chris roberts,frontside 5-0 grind,02-09-2010,http://theberrics.com/trickipedia/frontside-5-0-grind.html,regular,pro
felix arguelles,backside noseslide,02-02-2010,http://theberrics.com/trickipedia/backside-noseslide.html,goofy,pro
pj ladd,nollie frontside 360,01-26-2010,http://theberrics.com/trickipedia/nollie-frontside-360.html,regular,pro
matt miller,nollie heelflip,01-19-2010,http://theberrics.com/trickipedia/nollie-heelflip.html,goofy,pro
ryan smith,frontside smith,01-12-2010,http://theberrics.com/trickipedia/frontside-smith.html,regular,pro
guy mariano,backside crooked grind,01-05-2010,http://theberrics.com/trickipedia/backside-crooked-grind.html,regular,pro
tuukka korhonen,nollie,12-22-2009,http://theberrics.com/trickipedia/nollie.html,regular,am
ryan gallant,frontside krooked grind,12-15-2009,http://theberrics.com/trickipedia/frontside-krooked-grind.html,goofy,pro
marty murawski,frontside pop shuvit,12-08-2009,http://theberrics.com/trickipedia/frontside-pop-shuvit.html,goofy,pro
eric koston,backside feeble grind,12-01-2009,http://theberrics.com/trickipedia/backside-feeble-grind.html,goofy,pro
brandon biebel,switch frontside heelflip,11-10-2009,http://theberrics.com/trickipedia/switch-frontside-heelflip.html,goofy,pro
marquise henry,nollie frontside nosegrind,11-03-2009,http://theberrics.com/trickipedia/nollie-frontside-nosegrind.html,regular,am
kerry getz,double kickflip,10-27-2009,http://theberrics.com/trickipedia/double-kickflip.html,regular,pro
chris cole,backside 360,10-20-2009,http://theberrics.com/trickipedia/backside-360.html,regular,pro
kenny anderson,backside noseblunt,10-13-2009,http://theberrics.com/trickipedia/backside-noseblunt.html,goofy,pro
josh kalis,fakie kickflip,10-06-2009,http://theberrics.com/trickipedia/fakie-kickflip.html,goofy,pro
josiah gatlyn,switch heelflip,09-29-2009,http://theberrics.com/trickipedia/switch-heelflip.html,goofy,am
gareth stehr,frontside salad grind,09-15-2009,http://theberrics.com/trickipedia/frontside-salad-grind.html,regular,pro
patrick melcher,backside hurricane,09-08-2009,http://theberrics.com/trickipedia/backside-hurricane.html,regular,pro
richie jackson,backside wallride,09-01-2009,http://theberrics.com/trickipedia/backside-wallride.html,goofy,am
tommy sandoval,backside bluntslide,08-25-2009,http://theberrics.com/trickipedia/backside-bluntslide.html,regular,pro
mark appleyard,fakie 360 flip,08-18-2009,http://theberrics.com/trickipedia/fakie-360-flip.html,goofy,pro
mikey taylor,frontside feeble grind,08-11-2009,http://theberrics.com/trickipedia/frontside-feeble-grind.html,regular,pro
donovan strain,halfcab flip,08-04-2009,http://theberrics.com/trickipedia/halfcab-flip.html,goofy,am
heath kirchart,frontside lipslide,07-21-2009,http://theberrics.com/trickipedia/frontside-lipslide.html,goofy,pro
manny santiago,kickflip backside 5050,07-14-2009,http://theberrics.com/trickipedia/kickflip-backside-5050.html,goofy,pro
karl watson,frontside noseslide,07-07-2009,http://theberrics.com/trickipedia/frontside-noseslide.html,regular,pro
rodrigo petersen,switch frontside flip,06-30-2009,http://theberrics.com/trickipedia/switch-frontside-flip.html,regular,am
ben fisher,fakie 5-0 grind,06-23-2009,http://theberrics.com/trickipedia/fakie-5-0-grind.html,regular,am
shane o'neill,frontside nollie kickflip,06-16-2009,http://theberrics.com/trickipedia/frontside-nollie-kickflip.html,goofy,pro
wieger van wageningen,inward heelflip,06-09-2009,http://theberrics.com/trickipedia/inward-heelflip.html,goofy,pro
justin brock,frontside bigspin,06-02-2009,http://theberrics.com/trickipedia/frontside-bigspin.html,regular,pro
chase gabor,filming,05-26-2009,http://theberrics.com/trickipedia/filming.html,goofy,am
andrew brophy,ollie,05-19-2009,http://theberrics.com/trickipedia/ollie.html,regular,pro
nick mclouth,backside nosegrind,05-12-2009,http://theberrics.com/trickipedia/backside-nosegrind.html,goofy,am
jeron wilson,frontside tailslide,05-05-2009,http://theberrics.com/trickipedia/frontside-tailslide.html,regular,pro
steve nesser,frontside ollie,04-21-2009,http://theberrics.com/trickipedia/frontside-ollie.html,regular,pro
eli reed,backside lipslide,03-10-2009,http://theberrics.com/trickipedia/backside-lipslide.html,regular,pro
josh kalis,frontside noseblunt,02-24-2009,http://theberrics.com/trickipedia/frontside-noseblunt.html,goofy,pro
javier nunez,frontside nollie heelflip,02-17-2009,http://theberrics.com/trickipedia/frontside-nollie-heelflip.html,regular,pro
eric koston,backside tailslide,02-10-2009,http://theberrics.com/trickipedia/backside-tailslide.html,goofy,pro
daniel castillo,frontside 360,02-03-2009,http://theberrics.com/trickipedia/frontside-360.html,regular,am
sierra fellers,nollie crooked grind,01-27-2009,http://theberrics.com/trickipedia/nollie-crooked-grind.html,regular,pro
billy marks,switch bigspin heelflip,01-20-2009,http://theberrics.com/trickipedia/switch-bigspin-heelflip.html,regular,pro
danny supa,halfcab heelflip,01-13-2009,http://theberrics.com/trickipedia/halfcab-heelflip.html,goofy,pro
cody mcentire,nollie backside heelflip,01-06-2009,http://theberrics.com/trickipedia/nollie-backside-heelflip.html,regular,pro
greg lutzka,frontside halfcab kickflip,12-23-2008,http://theberrics.com/trickipedia/frontside-halfcab-kickflip.html,goofy,pro
joey brezinski,backside heelflip,12-16-2008,http://theberrics.com/trickipedia/backside-heelflip.html,goofy,pro
benny fairfax,nollie flip,12-09-2008,http://theberrics.com/trickipedia/nollie-flip.html,goofy,pro
lizard king,kickflip,12-02-2008,http://theberrics.com/trickipedia/kickflip.html,goofy,pro
jimmy cao,nollie backside kickflip,11-25-2008,http://theberrics.com/trickipedia/nollie-backside-kickflip.html,regular,pro
giovanni reda,no comply 180,11-18-2008,http://theberrics.com/trickipedia/no-comply-180.html,regular,am
andrew reynolds,frontside kickflip,11-11-2008,http://theberrics.com/trickipedia/frontside-kickflip.html,regular,pro
bryan herman,hardflip,11-04-2008,http://theberrics.com/trickipedia/hardflip.html,regular,pro
mike barker,backside smith grind,10-28-2008,http://theberrics.com/trickipedia/backside-smith-grind.html,regular,am
chico brenes,varial heelflip,10-21-2008,http://theberrics.com/trickipedia/heelflip-shuvit.html,regular,pro
garrett hill,pop shuvit,10-14-2008,http://theberrics.com/trickipedia/pop-shuvit.html,goofy,pro
luis tolentino,heelflip,10-07-2008,http://theberrics.com/trickipedia/heelflip.html,goofy,am
steve berra,backside kickflip,09-30-2008,http://theberrics.com/trickipedia/backside-kickflip.html,regular,pro
erik ellington,backside bigspin,09-27-2008,http://theberrics.com/trickipedia/backside-bigspin.html,goofy,pro
kelly hart,360 flip,09-26-2008,http://theberrics.com/trickipedia/360-flip.html,goofy,am
chris roberts,frontside nosegrind,09-25-2008,http://theberrics.com/trickipedia/frontside-nosegrind.html,regular,pro
